COUNTRY;FECHA;CONTAGIADOS;FALLECIDOS;RECUPERADOS;HOSPITALIZADOS;UCIs;;
SPAIN;09/03/2020;762;13;;;59;;
SPAIN;10/03/2020;623;19;;;32;;
SPAIN;11/03/2020;506;12;;;42;;
SPAIN;12/03/2020;822;37;;;48;;
SPAIN;13/03/2020;1259;34;;;82;;
SPAIN;14/03/2020;1546;18;;;-272;;
SPAIN;15/03/2020;2000;152;;;0;;
SPAIN;16/03/2020;1438;21;530;;432;;
SPAIN;17/03/2020;1987;182;498;;131;;
SPAIN;18/03/2020;2538;107;53;;211;;
SPAIN;19/03/2020;3431;169;44;;165;;
SPAIN;20/03/2020;2833;235;481;;186;;
SPAIN;21/03/2020;4946;324;540;13282;487;;
SPAIN;22/03/2020;3646;394;484;2272;173;;
SPAIN;23/03/2020;4517;462;782;2820;570;;
SPAIN;24/03/2020;6584;514;439;4388;281;;
SPAIN;25/03/2020;7937;738;1573;4198;530;;
SPAIN;26/03/2020;8578;655;1648;4952;513;;
SPAIN;27/03/2020;7871;769;2342;4381;486;;
SPAIN;28/03/2020;8189;832;2928;4337;410;;
SPAIN;29/03/2020;6549;838;2424;2767;332;;
SPAIN;30/03/2020;6398;812;2072;3220;324;;
SPAIN;31/03/2020;9222;849;2479;2626;376;;
SPAIN;01/04/2020;7719;864;3388;2175;265;;
SPAIN;02/04/2020;8102;950;4096;2695;220;;
SPAIN;03/04/2020;7472;932;3770;2524;324;;
SPAIN;04/04/2020;7026;809;3706;975;116;;
SPAIN;05/04/2020;6023;674;3861;1132;329;;
SPAIN;06/04/2020;4273;637;2357;918;70;;
SPAIN;07/04/2020;5478;743;2771;3431;138;;
SPAIN;08/04/2020;6180;757;4813;423;63;;
SPAIN;09/04/2020;5756;683;4144;3063;239;;
SPAIN;10/04/2020;4576;605;3503;993;111;;
SPAIN;11/04/2020;4830;510;3441;478;53;;
SPAIN;12/04/2020;4167;619;3282;5415;19;;
SPAIN;13/04/2020;3477;517;2336;1764;223;;
SPAIN;14/04/2020;3045;567;2777;523;74;;
SPAIN;15/04/2020;4978;523;3349;369;20;;
SPAIN;16/04/2020;5183;551;3947;1094;87;;
SPAIN;17/04/2020;5252;585;3502;594;34;;
SPAIN;18/04/2020;4499;565;3166;1666;79;;
SPAIN;19/04/2020;4218;410;2695;857;89;;
SPAIN;20/04/2020;3572;399;1694;542;46;;
SPAIN;21/04/2020;3968;430;1928;852;49;;
SPAIN;22/04/2020;4211;435;3401;972;52;;
SPAIN;23/04/2020;4635;440;3335;867;52;;
SPAIN;24/04/2020;2796;367;3105;932;118;;
SPAIN;25/04/2020;2944;378;3353;389;31;;
SPAIN;26/04/2020;1729;288;3024;1635;33;;
SPAIN;27/04/2020;1831;331;2144;351;174;;
SPAIN;28/04/2020;1308;301;1673;878;75;;
SPAIN;29/04/2020;2144;325;6399;908;49;;
SPAIN;30/04/2020;1309;628;3103;816;57;;
SPAIN;01/05/2020;1175;281;2628;732;84;;
SPAIN;02/05/2020;1147;276;2572;556;49;;
SPAIN;03/05/2020;838;164;1654;547;65;;
SPAIN;04/05/2020;356;164;2447;394;21;;
SPAIN;05/05/2020;867;185;0;720;37;;
SPAIN;06/05/2020;685;244;0;857;51;;
SPAIN;07/05/2020;754;213;0;548;58;;
SPAIN;08/05/2020;1095;229;0;762;85;;
SPAIN;09/05/2020;604;179;2200;489;70;;
SPAIN;10/05/2020;621;143;0;465;36;;
SPAIN;11/05/2020;373;123;0;257;20;;
SPAIN;12/05/2020;426;176;0;513;24;;
SPAIN;13/05/2020;439;184;0;412;65;;
SPAIN;14/05/2020;506;217;0;330;29;;
SPAIN;15/05/2020;549;138;0;346;29;;
PERU;06/03/2020;1;0;0;;;;
PERU;07/03/2020;5;0;0;;;;
PERU;08/03/2020;1;0;0;;;;
PERU;09/03/2020;2;0;0;;;;
PERU;10/03/2020;2;0;0;;;;
PERU;11/03/2020;6;0;0;;;;
PERU;12/03/2020;5;0;0;;;;
PERU;13/03/2020;16;0;0;;;;
PERU;14/03/2020;5;0;0;;;;
PERU;15/03/2020;28;0;0;1;1;;
PERU;16/03/2020;15;0;0;8;3;;
PERU;17/03/2020;31;0;0;13;3;;
PERU;18/03/2020;28;0;0;19;5;;
PERU;19/03/2020;89;2;1;19;7;;
