COUNTRY;FECHA;CONTAGIADOS;FALLECIDOS;RECUPERADOS;HOSPITALIZADOS;UCIs
BOLIVIA;08/03/2020;1;0;0;0;
BOLIVIA;09/03/2020;1;0;0;0;
BOLIVIA;10/03/2020;5;0;0;0;
BOLIVIA;11/03/2020;3;0;0;0;
BOLIVIA;12/03/2020;0;0;0;0;
BOLIVIA;13/03/2020;2;0;0;0;
BOLIVIA;14/03/2020;0;0;0;0;
BOLIVIA;15/03/2020;1;0;0;0;
BOLIVIA;16/03/2020;1;0;0;0;
BOLIVIA;17/03/2020;1;0;0;0;
BOLIVIA;18/03/2020;3;0;0;0;
BOLIVIA;19/03/2020;2;0;0;0;
BOLIVIA;20/03/2020;7;0;0;0;
BOLIVIA;21/03/2020;3;0;0;0;
BOLIVIA;22/03/2020;0;0;0;0;
BOLIVIA;23/03/2020;1;0;0;0;
BOLIVIA;24/03/2020;1;0;0;0;
BOLIVIA;25/03/2020;7;0;0;0;
BOLIVIA;26/03/2020;22;0;0;0;
BOLIVIA;27/03/2020;13;0;0;0;
BOLIVIA;28/03/2020;7;0;0;0;
BOLIVIA;29/03/2020;7;3;0;0;
BOLIVIA;30/03/2020;11;0;0;0;
BOLIVIA;31/03/2020;8;0;0;0;
BOLIVIA;01/04/2020;8;0;1;0;
BOLIVIA;02/04/2020;9;0;1;0;
BOLIVIA;03/04/2020;7;0;1;0;
BOLIVIA;04/04/2020;18;0;0;0;
BOLIVIA;05/04/2020;26;1;0;0;
BOLIVIA;06/04/2020;11;3;0;0;
BOLIVIA;07/04/2020;16;0;0;0;
BOLIVIA;07/04/2020;16;15;0;;
BOLIVIA;08/04/2020;54;18;0;;
BOLIVIA;09/04/2020;4;19;0;;
BOLIVIA;10/04/2020;7;20;0;;
BOLIVIA;11/04/2020;25;24;0;;
BOLIVIA;12/04/2020;30;27;0;;
BOLIVIA;13/04/2020;24;28;6;;
BOLIVIA;14/04/2020;43;0;7;;
BOLIVIA;15/04/2020;44;29;14;;
BOLIVIA;16/04/2020;24;31;26;;
BOLIVIA;17/04/2020;28;0;31;;
BOLIVIA;18/04/2020;27;32;0;;
BOLIVIA;19/04/2020;44;33;0;;
BOLIVIA;20/04/2020;34;34;37;;
BOLIVIA;21/04/2020;11;37;44;;
BOLIVIA;22/04/2020;63;40;0;;
BOLIVIA;23/04/2020;31;43;54;;
BOLIVIA;24/04/2020;104;44;63;;
BOLIVIA;25/04/2020;59;46;75;;
BOLIVIA;26/04/2020;84;50;81;;
BOLIVIA;27/04/2020;64;53;100;;
BOLIVIA;28/04/2020;39;55;110;;
BOLIVIA;29/04/2020;57;59;117;;
BOLIVIA;30/04/2020;57;62;132;;
BOLIVIA;01/05/2020;62;66;134;;
BOLIVIA;02/05/2020;241;71;159;;
BOLIVIA;03/05/2020;124;76;166;;
BOLIVIA;04/05/2020;87;82;174;;
BOLIVIA;05/05/2020;121;86;187;;
BOLIVIA;06/05/2020;84;91;198;;
BOLIVIA;07/05/2020;195;102;219;;
BOLIVIA;08/05/2020;185;106;237;;
BOLIVIA;09/05/2020;171;114;258;;
BOLIVIA;10/05/2020;119;117;273;;
BOLIVIA;11/05/2020;275;122;299;;
BOLIVIA;12/05/2020;133;128;313;;
BOLIVIA;13/05/2020;184;142;339;;
BOLIVIA;14/05/2020;224;152;356;;
BOLIVIA;15/05/2020;205;164;434;;
BOLIVIA;16/05/2020;249;165;473;;
BOLIVIA;17/05/2020;262;169;493;;
BOLIVIA;18/05/2020;175;174;503;;
BOLIVIA;19/05/2020;218;189;533;;
BOLIVIA;20/05/2020;438;199;553;;
BOLIVIA;21/05/2020;268;215;561;;
BOLIVIA;22/05/2020;392;230;575;;
BOLIVIA;23/05/2020;336;240;609;;
BOLIVIA;24/05/2020;348;250;629;;
BOLIVIA;25/05/2020;397;261;647;;
BOLIVIA;26/05/2020;476;263;677;;
BOLIVIA;27/05/2020;632;280;689;;
BOLIVIA;28/05/2020;619;293;738;;
BOLIVIA;29/05/2020;344;300;749;;
BOLIVIA;30/05/2020;861;310;889;;
BOLIVIA;31/05/2020;390;313;986;;
BOLIVIA;01/06/2020;549;343;1132;;
BOLIVIA;02/06/2020;460;376;1298;;
BOLIVIA;03/06/2020;647;400;1507;;
BOLIVIA;04/06/2020;607;415;1658;;
BOLIVIA;05/06/2020;483;427;1734;;
BOLIVIA;06/06/2020;630;454;1902;;
BOLIVIA;07/06/2020;285;465;2086;;
BOLIVIA;08/06/2020;306;475;2159;;
BOLIVIA;09/06/2020;695;487;2190;;
BOLIVIA;10/06/2020;637;512;2261;;
BOLIVIA;11/06/2020;884;533;2372;;
