"","COUNTRY","FECHA","CONTAGIADOS","FALLECIDOS","RECUPERADOS","HOSPITALIZADOS","UCIs","IP","R0_3","R0_7","R0_14"
"1","BOLIVIA",2020-03-08,1,0,0,0,NA,1,0,0,0
"2","BOLIVIA",2020-03-09,1,0,0,0,NA,1,NA,NA,NA
"3","BOLIVIA",2020-03-10,5,0,0,0,NA,5,5,NA,NA
"4","BOLIVIA",2020-03-11,3,0,0,0,NA,3,3,NA,NA
"5","BOLIVIA",2020-03-12,0,0,0,0,NA,0,0,NA,NA
"6","BOLIVIA",2020-03-13,2,0,0,0,NA,2,0.666666666666667,NA,NA
"7","BOLIVIA",2020-03-14,0,0,0,0,NA,0,NA,0,NA
"8","BOLIVIA",2020-03-15,1,0,0,0,NA,1,0.5,1,NA
"9","BOLIVIA",2020-03-16,1,0,0,0,NA,1,Inf,0.2,NA
"10","BOLIVIA",2020-03-17,1,0,0,0,NA,1,1,0.333333333333333,NA
"11","BOLIVIA",2020-03-18,3,0,0,0,NA,3,3,Inf,NA
"12","BOLIVIA",2020-03-19,2,0,0,0,NA,2,2,1,NA
"13","BOLIVIA",2020-03-20,7,0,0,0,NA,7,2.33333333333333,Inf,NA
"14","BOLIVIA",2020-03-21,3,0,0,0,NA,3,1.5,3,3
"15","BOLIVIA",2020-03-22,0,0,0,0,NA,0,0,0,0
"16","BOLIVIA",2020-03-23,1,0,0,0,NA,1,0.333333333333333,1,0.2
"17","BOLIVIA",2020-03-24,1,0,0,0,NA,1,Inf,0.333333333333333,0.333333333333333
"18","BOLIVIA",2020-03-25,7,0,0,0,NA,7,7,3.5,Inf
"19","BOLIVIA",2020-03-26,22,0,0,0,NA,22,22,3.14285714285714,11
"20","BOLIVIA",2020-03-27,13,0,0,0,NA,13,1.85714285714286,4.33333333333333,Inf
"21","BOLIVIA",2020-03-28,7,0,0,0,NA,7,0.318181818181818,Inf,7
"22","BOLIVIA",2020-03-29,7,3,0,0,NA,10,0.538461538461538,7,7
"23","BOLIVIA",2020-03-30,11,0,0,0,NA,11,1.57142857142857,11,11
"24","BOLIVIA",2020-03-31,8,0,0,0,NA,8,1.14285714285714,1.14285714285714,2.66666666666667
"25","BOLIVIA",2020-04-01,8,0,1,0,NA,7,0.727272727272727,0.363636363636364,4
"26","BOLIVIA",2020-04-02,9,0,1,0,NA,8,1.125,0.692307692307692,1.28571428571429
"27","BOLIVIA",2020-04-03,7,0,1,0,NA,6,0.875,1,2.33333333333333
"28","BOLIVIA",2020-04-04,18,0,0,0,NA,18,2,2.57142857142857,Inf
"29","BOLIVIA",2020-04-05,26,1,0,0,NA,27,3.71428571428571,2.36363636363636,26
"30","BOLIVIA",2020-04-06,11,3,0,0,NA,14,0.611111111111111,1.375,11
"31","BOLIVIA",2020-04-07,16,0,0,0,NA,16,0.615384615384615,2,2.28571428571429
"32","BOLIVIA",2020-04-07,16,15,0,NA,NA,31,1.45454545454545,1.77777777777778,0.727272727272727
"33","BOLIVIA",2020-04-08,54,18,0,NA,NA,72,3.375,7.71428571428571,4.15384615384615
"34","BOLIVIA",2020-04-09,4,19,0,NA,NA,23,0.25,0.222222222222222,0.571428571428571
"35","BOLIVIA",2020-04-10,7,20,0,NA,NA,27,0.12962962962963,0.269230769230769,1
"36","BOLIVIA",2020-04-11,25,24,0,NA,NA,49,6.25,2.27272727272727,2.27272727272727
"37","BOLIVIA",2020-04-12,30,27,0,NA,NA,57,4.28571428571429,1.875,3.75
"38","BOLIVIA",2020-04-13,24,28,6,NA,NA,46,0.96,1.5,3
"39","BOLIVIA",2020-04-14,43,0,7,NA,NA,36,1.43333333333333,0.796296296296296,4.77777777777778
"40","BOLIVIA",2020-04-15,44,29,14,NA,NA,59,1.83333333333333,11,6.28571428571429
"41","BOLIVIA",2020-04-16,24,31,26,NA,NA,29,0.558139534883721,3.42857142857143,1.33333333333333
"42","BOLIVIA",2020-04-17,28,0,31,NA,NA,-3,0.636363636363636,1.12,1.07692307692308
"43","BOLIVIA",2020-04-18,27,32,0,NA,NA,59,1.125,0.9,2.45454545454545
"44","BOLIVIA",2020-04-19,44,33,0,NA,NA,77,1.57142857142857,1.83333333333333,2.75
"45","BOLIVIA",2020-04-20,34,34,37,NA,NA,31,1.25925925925926,0.790697674418605,2.125
"46","BOLIVIA",2020-04-21,11,37,44,NA,NA,4,0.25,0.25,0.203703703703704
